div,season,date,team,gameno,home,points,goals,team_opponent,points_opponent,goals_opponent,hometeam_uid,awayteam_uid
E0,2011,2012-04-16,Arsenal,34,1,0.0,1.0,Wigan,3.0,2.0,1,35
E0,2011,2012-04-21,Arsenal,35,1,1.0,0.0,Chelsea,1.0,0.0,1,11
E0,2011,2012-04-28,Arsenal,36,0,1.0,1.0,Stoke,1.0,1.0,28,1
E0,2011,2012-05-05,Arsenal,37,1,1.0,3.0,Norwich,1.0,3.0,1,23
E0,2011,2012-05-13,Arsenal,38,0,3.0,3.0,West Brom,0.0,2.0,33,1
E0,2012,2012-08-18,Arsenal,1,1,1.0,0.0,Sunderland,1.0,0.0,1,29
E0,2012,2012-08-26,Arsenal,2,0,1.0,0.0,Stoke,1.0,0.0,28,1
E0,2012,2012-09-02,Arsenal,3,0,3.0,2.0,Liverpool,0.0,0.0,18,1
E0,2012,2012-09-15,Arsenal,4,1,3.0,6.0,Southampton,0.0,1.0,1,27
E0,2012,2012-09-23,Arsenal,5,0,1.0,1.0,Man City,1.0,1.0,19,1
E0,2012,2012-09-29,Arsenal,6,1,0.0,1.0,Chelsea,3.0,2.0,1,11
E0,2012,2012-10-06,Arsenal,7,0,3.0,3.0,West Ham,0.0,1.0,34,1
E0,2012,2012-10-20,Arsenal,8,0,0.0,0.0,Norwich,3.0,1.0,23,1
E0,2012,2012-10-27,Arsenal,9,1,3.0,1.0,QPR,0.0,0.0,1,25
E0,2012,2012-11-03,Arsenal,10,0,0.0,1.0,Man United,3.0,2.0,20,1
E0,2012,2012-11-10,Arsenal,11,1,1.0,3.0,Fulham,1.0,3.0,1,14
E0,2012,2012-11-17,Arsenal,12,1,3.0,5.0,Tottenham,0.0,2.0,1,31
E0,2012,2012-11-24,Arsenal,13,0,1.0,0.0,Aston Villa,1.0,0.0,2,1
E0,2012,2012-11-28,Arsenal,14,0,1.0,1.0,Everton,1.0,1.0,13,1
E0,2012,2012-12-01,Arsenal,15,1,0.0,0.0,Swansea,3.0,2.0,1,30
E0,2012,2012-12-08,Arsenal,16,1,3.0,2.0,West Brom,0.0,0.0,1,33
E0,2012,2012-12-17,Arsenal,17,0,3.0,5.0,Reading,0.0,2.0,26,1
E0,2012,2012-12-22,Arsenal,18,0,3.0,1.0,Wigan,0.0,0.0,35,1
E0,2012,2012-12-29,Arsenal,19,1,3.0,7.0,Newcastle,0.0,3.0,1,22
E0,2012,2013-01-01,Arsenal,20,0,1.0,1.0,Southampton,1.0,1.0,27,1
E0,2012,2013-01-13,Arsenal,21,1,0.0,0.0,Man City,3.0,2.0,1,19
E0,2012,2013-01-20,Arsenal,22,0,0.0,1.0,Chelsea,3.0,2.0,11,1
E0,2012,2013-01-23,Arsenal,23,1,3.0,5.0,West Ham,0.0,1.0,1,34
E0,2012,2013-01-30,Arsenal,24,1,1.0,2.0,Liverpool,1.0,2.0,1,18
E0,2012,2013-02-02,Arsenal,25,1,3.0,1.0,Stoke,0.0,0.0,1,28
E0,2012,2013-02-09,Arsenal,26,0,3.0,1.0,Sunderland,0.0,0.0,29,1
E0,2012,2013-02-23,Arsenal,27,1,3.0,2.0,Aston Villa,0.0,1.0,1,2
E0,2012,2013-03-03,Arsenal,28,0,0.0,1.0,Tottenham,3.0,2.0,31,1
E0,2012,2013-03-16,Arsenal,29,0,3.0,2.0,Swansea,0.0,0.0,30,1
E0,2012,2013-03-30,Arsenal,30,1,3.0,4.0,Reading,0.0,1.0,1,26
E0,2012,2013-04-06,Arsenal,31,0,3.0,2.0,West Brom,0.0,1.0,33,1
E0,2012,2013-04-13,Arsenal,32,1,3.0,3.0,Norwich,0.0,1.0,1,23
E0,2012,2013-04-16,Arsenal,33,1,1.0,0.0,Everton,1.0,0.0,1,13
E0,2012,2013-04-20,Arsenal,34,0,3.0,1.0,Fulham,0.0,0.0,14,1
E0,2012,2013-04-28,Arsenal,35,1,1.0,1.0,Man United,1.0,1.0,1,20
E0,2012,2013-05-04,Arsenal,36,0,3.0,1.0,QPR,0.0,0.0,25,1
E0,2012,2013-05-14,Arsenal,37,1,3.0,4.0,Wigan,0.0,1.0,1,35
E0,2012,2013-05-19,Arsenal,38,0,3.0,1.0,Newcastle,0.0,0.0,22,1
E0,2013,2013-08-17,Arsenal,1,1,0.0,1.0,Aston Villa,3.0,3.0,1,2
E0,2013,2013-08-24,Arsenal,2,0,3.0,3.0,Fulham,0.0,1.0,14,1
E0,2013,2013-09-01,Arsenal,3,1,3.0,1.0,Tottenham,0.0,0.0,1,31
E0,2013,2013-09-14,Arsenal,4,0,3.0,3.0,Sunderland,0.0,1.0,29,1
E0,2013,2013-09-22,Arsenal,5,1,3.0,3.0,Stoke,0.0,1.0,1,28
E0,2013,2013-09-28,Arsenal,6,0,3.0,2.0,Swansea,0.0,1.0,30,1
E0,2013,2013-10-06,Arsenal,7,0,1.0,1.0,West Brom,1.0,1.0,33,1
E0,2013,2013-10-19,Arsenal,8,1,3.0,4.0,Norwich,0.0,1.0,1,23
E0,2013,2013-10-26,Arsenal,9,0,3.0,2.0,Crystal Palace,0.0,0.0,12,1
E0,2013,2013-11-02,Arsenal,10,1,3.0,2.0,Liverpool,0.0,0.0,1,18
E0,2013,2013-11-10,Arsenal,11,0,0.0,0.0,Man United,3.0,1.0,20,1
E0,2013,2013-11-23,Arsenal,12,1,3.0,2.0,Southampton,0.0,0.0,1,27
E0,2013,2013-11-30,Arsenal,13,0,3.0,3.0,Cardiff,0.0,0.0,10,1
E0,2013,2013-12-04,Arsenal,14,1,3.0,2.0,Hull,0.0,0.0,1,16
E0,2013,2013-12-08,Arsenal,15,1,1.0,1.0,Everton,1.0,1.0,1,13
E0,2013,2013-12-14,Arsenal,16,0,0.0,3.0,Man City,3.0,6.0,19,1
E0,2013,2013-12-23,Arsenal,17,1,1.0,0.0,Chelsea,1.0,0.0,1,11
E0,2013,2013-12-26,Arsenal,18,0,3.0,3.0,West Ham,0.0,1.0,34,1
E0,2013,2013-12-29,Arsenal,19,0,3.0,1.0,Newcastle,0.0,0.0,22,1
E0,2013,2014-01-01,Arsenal,20,1,3.0,2.0,Cardiff,0.0,0.0,1,10
E0,2013,2014-01-13,Arsenal,21,0,3.0,2.0,Aston Villa,0.0,1.0,2,1
E0,2013,2014-01-18,Arsenal,22,1,3.0,2.0,Fulham,0.0,0.0,1,14
E0,2013,2014-01-28,Arsenal,23,0,1.0,2.0,Southampton,1.0,2.0,27,1
E0,2013,2014-02-02,Arsenal,24,1,3.0,2.0,Crystal Palace,0.0,0.0,1,12
E0,2013,2014-02-08,Arsenal,25,0,0.0,1.0,Liverpool,3.0,5.0,18,1
E0,2013,2014-02-12,Arsenal,26,1,1.0,0.0,Man United,1.0,0.0,1,20
E0,2013,2014-02-22,Arsenal,27,1,3.0,4.0,Sunderland,0.0,1.0,1,29
E0,2013,2014-03-01,Arsenal,28,0,0.0,0.0,Stoke,3.0,1.0,28,1
E0,2013,2014-03-16,Arsenal,29,0,3.0,1.0,Tottenham,0.0,0.0,31,1
E0,2013,2014-03-22,Arsenal,30,0,0.0,0.0,Chelsea,3.0,6.0,11,1
E0,2013,2014-03-25,Arsenal,31,1,1.0,2.0,Swansea,1.0,2.0,1,30
E0,2013,2014-03-29,Arsenal,32,1,1.0,1.0,Man City,1.0,1.0,1,19
E0,2013,2014-04-06,Arsenal,33,0,0.0,0.0,Everton,3.0,3.0,13,1
E0,2013,2014-04-15,Arsenal,34,1,3.0,3.0,West Ham,0.0,1.0,1,34
E0,2013,2014-04-20,Arsenal,35,0,3.0,3.0,Hull,0.0,0.0,16,1
E0,2013,2014-04-28,Arsenal,36,1,3.0,3.0,Newcastle,0.0,0.0,1,22
E0,2013,2014-05-04,Arsenal,37,1,3.0,1.0,West Brom,0.0,0.0,1,33
