div,season,date,team,gameno,home,points,goals,team_opponent,points_opponent,goals_opponent,hometeam_uid,awayteam_uid
E0,2011,17sep2011,Arsenal,5,0,0,3,Blackburn,3,4,4,1
E0,2011,24sep2011,Arsenal,6,1,3,3,Bolton,0,0,1,6
E0,2011,02oct2011,Arsenal,7,0,0,1,Tottenham,3,2,31,1
E0,2011,16oct2011,Arsenal,8,1,3,2,Sunderland,0,1,1,29
E0,2011,23oct2011,Arsenal,9,1,3,3,Stoke,0,1,1,28
E0,2011,29oct2011,Arsenal,10,0,3,5,Chelsea,0,3,11,1
E0,2011,05nov2011,Arsenal,11,1,3,3,West Brom,0,0,1,33
E0,2011,19nov2011,Arsenal,12,0,3,2,Norwich,0,1,23,1
E0,2011,26nov2011,Arsenal,13,1,1,1,Fulham,1,1,1,14
E0,2011,03dec2011,Arsenal,14,0,3,4,Wigan,0,0,35,1
E0,2011,10dec2011,Arsenal,15,1,3,1,Everton,0,0,1,13
E0,2011,18dec2011,Arsenal,16,0,0,0,Man City,3,1,19,1
E0,2011,21dec2011,Arsenal,17,0,3,2,Aston Villa,0,1,2,1
E0,2011,27dec2011,Arsenal,18,1,1,1,Wolves,1,1,1,36
E0,2011,31dec2011,Arsenal,19,1,3,1,QPR,0,0,1,25
E0,2011,02jan2012,Arsenal,20,0,0,1,Fulham,3,2,14,1
E0,2011,15jan2012,Arsenal,21,0,0,2,Swansea,3,3,30,1
E0,2011,22jan2012,Arsenal,22,1,0,1,Man United,3,2,1,20
E0,2011,01feb2012,Arsenal,23,0,1,0,Bolton,1,0,6,1
E0,2011,04feb2012,Arsenal,24,1,3,7,Blackburn,0,1,1,4
E0,2011,11feb2012,Arsenal,25,0,3,2,Sunderland,0,1,29,1
E0,2011,26feb2012,Arsenal,26,1,3,5,Tottenham,0,2,1,31
E0,2011,03mar2012,Arsenal,27,0,3,2,Liverpool,0,1,18,1
E0,2011,12mar2012,Arsenal,28,1,3,2,Newcastle,0,1,1,22
E0,2011,21mar2012,Arsenal,29,0,3,1,Everton,0,0,13,1
E0,2011,24mar2012,Arsenal,30,1,3,3,Aston Villa,0,0,1,2
E0,2011,31mar2012,Arsenal,31,0,0,1,QPR,3,2,25,1
E0,2011,08apr2012,Arsenal,32,1,3,1,Man City,0,0,1,19
E0,2011,11apr2012,Arsenal,33,0,3,3,Wolves,0,0,36,1
E0,2011,16apr2012,Arsenal,34,1,0,1,Wigan,3,2,1,35
E0,2011,21apr2012,Arsenal,35,1,1,0,Chelsea,1,0,1,11
E0,2011,28apr2012,Arsenal,36,0,1,1,Stoke,1,1,28,1
E0,2011,05may2012,Arsenal,37,1,1,3,Norwich,1,3,1,23
E0,2011,13may2012,Arsenal,38,0,3,3,West Brom,0,2,33,1
E0,2012,18aug2012,Arsenal,1,1,1,0,Sunderland,1,0,1,29
E0,2012,26aug2012,Arsenal,2,0,1,0,Stoke,1,0,28,1
E0,2012,02sep2012,Arsenal,3,0,3,2,Liverpool,0,0,18,1
E0,2012,15sep2012,Arsenal,4,1,3,6,Southampton,0,1,1,27
E0,2012,23sep2012,Arsenal,5,0,1,1,Man City,1,1,19,1
E0,2012,29sep2012,Arsenal,6,1,0,1,Chelsea,3,2,1,11
E0,2012,06oct2012,Arsenal,7,0,3,3,West Ham,0,1,34,1
E0,2012,20oct2012,Arsenal,8,0,0,0,Norwich,3,1,23,1
E0,2012,27oct2012,Arsenal,9,1,3,1,QPR,0,0,1,25
E0,2012,03nov2012,Arsenal,10,0,0,1,Man United,3,2,20,1
E0,2012,10nov2012,Arsenal,11,1,1,3,Fulham,1,3,1,14
E0,2012,17nov2012,Arsenal,12,1,3,5,Tottenham,0,2,1,31
E0,2012,24nov2012,Arsenal,13,0,1,0,Aston Villa,1,0,2,1
E0,2012,28nov2012,Arsenal,14,0,1,1,Everton,1,1,13,1
E0,2012,01dec2012,Arsenal,15,1,0,0,Swansea,3,2,1,30
E0,2012,08dec2012,Arsenal,16,1,3,2,West Brom,0,0,1,33
